26 118
10 2 108
1 19 31
9 11 100
17 5 59
24 13 36
13 15 63
18 15 93
9 23 63
2 24 95
9 6 13
10 6 13
11 25 26
7 24 85
1 8 12
18 2 47
25 12 83
18 11 2
21 1 5
7 3 76
3 2 28
10 12 90
5 20 127
14 13 117
26 3 88
8 2 51
9 14 8
10 16 137
13 7 129
10 17 88
16 21 46
1 13 53
10 7 110
16 18 96
17 16 99
25 2 87
16 22 114
21 22 125
24 8 3
23 6 120
19 15 99
9 3 117
5 12 116
9 19 37
13 6 145
20 25 122
23 22 126
14 3 1
6 8 10
11 13 31
26 9 74
26 1 69
9 16 92
23 16 92
13 23 2
21 26 14
10 15 106
7 18 95
16 2 9
11 2 74
14 17 123
20 18 76
12 6 94
20 13 67
21 10 23
1 6 97
23 12 53
5 11 37
8 18 36
26 10 112
19 17 66
25 15 138
22 1 76
5 26 126
2 22 73
5 21 137
8 11 3
26 22 2
6 7 141
23 20 31
1 24 82
9 17 46
12 22 4
21 15 17
20 19 52
25 21 59
14 16 86
18 25 73
23 19 14
6 19 1
25 1 8
13 18 15
5 15 16
15 17 45
14 20 128
17 22 78
16 7 126
10 25 128
11 17 111
8 17 130
4 12 95
12 14 5
4 15 33
11 7 108
25 16 11
6 22 92
24 26 97
22 24 90
6 17 76
9 10 3
13 16 85
6 11 61
6 26 131
19 24 19
1 9 118
20 9 47
4 14 145
1 12 67
8 3 16

