58 927
27 15 904
58 42 703
28 51 824
34 27 1138
43 36 496
19 22 895
23 18 557
36 46 1011
3 22 86
53 50 80
1 10 1279
18 46 281
4 45 824
8 41 184
27 2 595
23 14 471
1 2 156
16 23 747
26 13 862
58 33 666
58 25 166
35 38 589
35 14 996
32 42 427
10 32 590
31 32 817
9 4 183
22 34 1208
1 51 1302
1 49 371
27 12 258
34 57 962
52 47 1100
9 48 530
14 44 420
30 56 262
10 58 107
4 11 945
23 19 386
41 4 1143
20 18 320
19 9 395
29 25 119
3 12 85
51 44 247
20 26 905
13 37 147
52 15 783
31 56 378
15 2 92
24 21 1086
51 31 729
12 50 446
16 3 884
16 52 1299
17 18 519
1 57 120
27 39 421
10 13 449
8 27 166
12 13 62
28 46 780
33 48 1110
35 47 854
41 27 550
56 10 756
29 36 896
23 57 523
27 19 562
4 50 1262
14 12 306
18 58 824
44 52 1002
11 46 1105
24 47 1297
53 30 1219
25 9 311
57 39 1078
23 49 1181
15 37 1311
28 40 274
13 38 1074
49 57 1326
45 13 612
7 1 240
29 54 3
27 26 390
5 38 600
6 51 395
10 40 1136
53 41 964
26 54 933
7 14 484
38 47 981
42 44 1090
36 24 508
47 41 1285
15 40 505
31 20 911
25 12 1002
35 21 124
29 15 607
56 28 342
37 14 1132
3 36 479
18 49 742
48 27 882
34 52 257
16 7 167
44 13 256
41 32 948
28 49 885
41 56 448
33 36 1035
23 44 931
49 48 252
5 37 201
52 57 1201
50 18 280
58 17 762
48 26 818
34 5 968
54 4 621
51 15 1155
45 8 794
14 25 8
29 53 149
5 6 983
33 44 144
47 48 1240
47 54 1160
41 18 166
4 28 390
22 44 484
23 40 384
15 46 1296
7 39 1003
20 28 1316
38 7 1286
37 9 505
51 22 992
1 32 1065
4 36 409
21 9 1334
27 5 981
27 9 241
9 2 1280
10 30 1315
46 8 647
18 5 353
45 2 1228
6 28 1155
11 58 534
49 30 756
45 6 140
53 52 3
2 11 1338
21 17 323
2 26 280
29 4 317
15 17 1024
57 48 773
7 25 497
25 30 1217
51 8 557
26 55 1301
9 39 1282
52 35 60
10 8 1108
44 37 1153
15 39 1338
9 53 260
22 52 580
16 44 367
1 9 1208
16 15 162
46 40 1251
33 17 1061
23 52 108
32 30 5
37 33 872
36 57 932
8 20 694
8 17 1344
17 43 77
12 16 675
43 47 215
13 57 703
30 29 113
21 38 1079
42 15 945
18 27 98
4 35 1293
35 5 805
49 36 225
4 23 1226
55 46 743
12 9 352
38 58 474
19 56 948
46 5 835
51 11 423
29 13 212
19 30 523
43 4 543
29 6 913
34 16 86
30 37 475
53 24 598
25 52 1034
42 36 872
35 27 100
1 45 862
9 36 287
15 26 710
58 49 212
7 32 1086
52 18 1184
24 4 263
32 16 395
43 39 722
34 13 728
43 44 174
49 24 419
47 2 786
57 28 565
47 55 332
34 45 614
58 57 1025
19 31 864
50 10 737
8 9 1089
28 48 1011
14 13 317
22 30 1148
47 9 760
58 12 741
22 2 178
43 52 1027
53 8 903
56 8 673
47 13 750
31 27 89
37 29 321
35 42 1245
51 48 130
28 45 192
24 38 938
34 29 328
55 39 992
19 46 534
3 50 612
57 9 45
31 35 296
8 49 598
17 42 511
16 55 247
31 57 114
45 16 1302
44 45 786
28 16 92
50 21 908
23 8 457
22 18 650
40 5 1245
53 25 656
22 29 80
52 56 86
32 24 929
28 19 296
52 48 263
33 18 1210
9 55 108
20 32 484
12 11 25
44 32 756
35 9 1038
22 25 104
27 54 572
36 50 649
17 57 552
51 19 109
18 13 125
37 58 451
26 28 566
24 28 1180
4 44 1293
17 6 791
38 28 1171
