17 136
1 1 2
1 2 6
1 3 6
1 4 11
1 5 3
1 6 3
1 7 15
1 8 3
1 9 12
1 10 6
1 11 15
1 12 9
1 13 8
1 14 13
1 15 3
1 16 9
1 17 7
2 2 11
2 3 2
2 4 14
2 5 16
2 6 10
2 7 17
2 8 7
2 9 15
2 10 1
2 11 3
2 12 14
2 13 4
2 14 4
2 15 17
2 16 7
2 17 17
3 3 8
3 4 11
3 5 8
3 6 13
3 7 4
3 8 5
3 9 10
3 10 15
3 11 10
3 12 7
3 13 12
3 14 10
3 15 4
3 16 3
3 17 4
4 4 2
4 5 10
4 6 11
4 7 17
4 8 7
4 9 10
4 10 5
4 11 10
4 12 14
4 13 8
4 14 10
4 15 7
4 16 16
4 17 11
5 5 9
5 6 4
5 7 8
5 8 7
5 9 1
5 10 13
5 11 1
5 12 16
5 13 3
5 14 11
5 15 12
5 16 16
5 17 6
6 6 6
6 7 6
6 8 9
6 9 6
6 10 15
6 11 6
6 12 16
6 13 10
6 14 3
6 15 2
6 16 3
6 17 14
7 7 16
7 8 17
7 9 11
7 10 4
7 11 8
7 12 9
7 13 3
7 14 15
7 15 1
7 16 14
7 17 4
8 8 17
8 9 2
8 10 4
8 11 15
8 12 15
8 13 16
8 14 6
8 15 6
8 16 13
8 17 5
9 9 6
9 10 3
9 11 13
9 12 13
9 13 2
9 14 7
9 15 1
9 16 5
9 17 12
10 10 2
10 11 1
10 12 1
10 13 1
10 14 13
10 15 11
10 16 1
10 17 17
11 11 6
11 12 16
11 13 14
11 14 16
11 15 1
11 16 2
11 17 4
12 12 1
12 13 8
12 14 16
12 15 6
12 16 14
12 17 1
13 13 4
13 14 11
13 15 11
13 16 11
13 17 5
14 14 3
14 15 14
14 16 10
14 17 17
15 15 9
15 16 16
15 17 5
16 16 6
16 17 6
17 17 14

