15 105
1 1 12
1 2 8
1 3 12
1 4 12
1 5 7
1 6 12
1 7 3
1 8 9
1 9 3
1 10 12
1 11 3
1 12 11
1 13 13
1 14 14
1 15 5
2 2 8
2 3 9
2 4 6
2 5 2
2 6 3
2 7 13
2 8 15
2 9 9
2 10 9
2 11 11
2 12 3
2 13 1
2 14 13
2 15 7
3 3 6
3 4 3
3 5 8
3 6 13
3 7 2
3 8 7
3 9 6
3 10 3
3 11 1
3 12 2
3 13 12
3 14 7
3 15 2
4 4 7
4 5 13
4 6 2
4 7 11
4 8 5
4 9 7
4 10 8
4 11 4
4 12 6
4 13 12
4 14 15
4 15 3
5 5 7
5 6 10
5 7 15
5 8 4
5 9 2
5 10 13
5 11 6
5 12 14
5 13 2
5 14 2
5 15 14
6 6 6
6 7 6
6 8 12
6 9 12
6 10 15
6 11 14
6 12 2
6 13 13
6 14 10
6 15 13
7 7 1
7 8 12
7 9 14
7 10 15
7 11 1
7 12 15
7 13 2
7 14 9
7 15 2
8 8 15
8 9 13
8 10 3
8 11 11
8 12 2
8 13 14
8 14 6
8 15 3
9 9 8
9 10 2
9 11 1
9 12 3
9 13 11
9 14 1
9 15 8
10 10 6
10 11 6
10 12 10
10 13 14
10 14 12
10 15 2
11 11 11
11 12 9
11 13 3
11 14 14
11 15 14
12 12 1
12 13 7
12 14 14
12 15 9
13 13 12
13 14 2
13 15 6
14 14 6
14 15 13
15 15 15

