20 79
12 8 49
5 3 73
20 18 14
6 10 53
13 12 75
13 15 10
1 18 5
13 6 64
7 9 15
13 5 52
9 10 42
11 10 10
6 12 52
5 2 1
19 16 67
12 15 97
19 4 73
13 11 64
7 16 11
19 5 7
18 13 68
2 7 38
15 10 95
5 15 44
17 18 37
11 8 87
20 2 23
13 9 18
17 14 20
8 6 3
5 14 1
16 17 101
18 4 5
8 13 37
4 9 20
11 7 100
1 15 2
8 15 106
7 4 7
16 13 71
5 18 102
1 5 98
3 1 32
13 1 98
9 3 7
17 7 94
2 1 22
14 2 79
16 5 50
12 4 34
18 15 41
13 20 65
13 3 44
16 2 22
11 15 84
1 11 77
10 12 67
14 3 22
20 14 69
14 8 2
6 1 54
3 2 87
1 12 72
8 18 50
18 10 53
9 20 41
1 20 79
5 6 22
4 1 26
16 12 10
17 19 50
1 17 85
3 12 48
10 19 49
3 17 104
4 8 90
8 2 43
20 19 97
3 6 57

