45 990
1 2 34
1 3 15
1 4 4
1 5 32
1 6 14
1 7 36
1 8 35
1 9 32
1 10 5
1 11 4
1 12 34
1 13 38
1 14 18
1 15 28
1 16 15
1 17 6
1 18 12
1 19 3
1 20 1
1 21 22
1 22 36
1 23 9
1 24 28
1 25 20
1 26 12
1 27 11
1 28 7
1 29 16
1 30 13
1 31 40
1 32 18
1 33 42
1 34 27
1 35 12
1 36 28
1 37 16
1 38 37
1 39 31
1 40 26
1 41 27
1 42 43
1 43 2
1 44 31
1 45 36
2 3 6
2 4 34
2 5 15
2 6 28
2 7 23
2 8 42
2 9 7
2 10 20
2 11 38
2 12 40
2 13 24
2 14 35
2 15 32
2 16 28
2 17 35
2 18 38
2 19 18
2 20 21
2 21 40
2 22 21
2 23 31
2 24 30
2 25 27
2 26 21
2 27 35
2 28 21
2 29 34
2 30 9
2 31 1
2 32 16
2 33 23
2 34 28
2 35 13
2 36 27
2 37 3
2 38 40
2 39 32
2 40 5
2 41 39
2 42 34
2 43 37
2 44 42
2 45 12
3 4 17
3 5 45
3 6 16
3 7 8
3 8 6
3 9 6
3 10 4
3 11 22
3 12 18
3 13 16
3 14 36
3 15 21
3 16 37
3 17 40
3 18 24
3 19 37
3 20 32
3 21 38
3 22 40
3 23 28
3 24 6
3 25 18
3 26 27
3 27 20
3 28 10
3 29 45
3 30 17
3 31 10
3 32 40
3 33 38
3 34 44
3 35 10
3 36 42
3 37 35
3 38 29
3 39 39
3 40 34
3 41 33
3 42 25
3 43 18
3 44 35
3 45 17
4 5 23
4 6 22
4 7 2
4 8 1
4 9 14
4 10 24
4 11 4
4 12 38
4 13 16
4 14 4
4 15 43
4 16 21
4 17 12
4 18 27
4 19 22
4 20 23
4 21 27
4 22 16
4 23 20
4 24 25
4 25 6
4 26 27
4 27 37
4 28 36
4 29 23
4 30 22
4 31 22
4 32 45
4 33 25
4 34 27
4 35 26
4 36 27
4 37 25
4 38 26
4 39 41
4 40 31
4 41 7
4 42 31
4 43 28
4 44 13
4 45 20
5 6 8
5 7 8
5 8 32
5 9 13
5 10 12
5 11 40
5 12 45
5 13 22
5 14 22
5 15 26
5 16 2
5 17 30
5 18 38
5 19 23
5 20 9
5 21 35
5 22 5
5 23 41
5 24 30
5 25 22
5 26 7
5 27 8
5 28 13
5 29 9
5 30 32
5 31 43
5 32 32
5 33 27
5 34 16
5 35 26
5 36 33
5 37 22
5 38 12
5 39 7
5 40 34
5 41 11
5 42 7
5 43 38
5 44 7
5 45 28
6 7 20
6 8 7
6 9 34
6 10 4
6 11 34
6 12 43
6 13 33
6 14 42
6 15 27
6 16 26
6 17 8
6 18 28
6 19 11
6 20 36
6 21 13
6 22 26
6 23 29
6 24 6
6 25 30
6 26 28
6 27 6
6 28 32
6 29 8
6 30 43
6 31 21
6 32 23
6 33 21
6 34 38
6 35 1
6 36 23
6 37 7
6 38 26
6 39 10
6 40 40
6 41 27
6 42 44
6 43 27
6 44 23
6 45 11
7 8 43
7 9 21
7 10 28
7 11 20
7 12 44
7 13 3
7 14 24
7 15 37
7 16 1
7 17 20
7 18 39
7 19 29
7 20 7
7 21 31
7 22 31
7 23 13
7 24 23
7 25 1
7 26 6
7 27 16
7 28 33
7 29 42
7 30 4
7 31 24
7 32 19
7 33 15
7 34 11
7 35 24
7 36 19
7 37 18
7 38 25
7 39 17
7 40 35
7 41 7
7 42 10
7 43 18
7 44 18
7 45 45
8 9 35
8 10 3
8 11 22
8 12 37
8 13 25
8 14 21
8 15 18
8 16 15
8 17 5
8 18 34
8 19 28
8 20 28
8 21 36
8 22 19
8 23 30
8 24 2
8 25 6
8 26 33
8 27 23
8 28 2
8 29 5
8 30 22
8 31 43
8 32 20
8 33 11
8 34 43
8 35 10
8 36 27
8 37 37
8 38 44
8 39 5
8 40 36
8 41 32
8 42 25
8 43 6
8 44 37
8 45 9
9 10 3
9 11 23
9 12 44
9 13 22
9 14 18
9 15 38
9 16 37
9 17 8
9 18 25
9 19 29
9 20 33
9 21 13
9 22 30
9 23 21
9 24 42
9 25 17
9 26 26
9 27 42
9 28 30
9 29 18
9 30 42
9 31 1
9 32 38
9 33 30
9 34 40
9 35 42
9 36 32
9 37 23
9 38 24
9 39 15
9 40 19
9 41 36
9 42 12
9 43 37
9 44 33
9 45 30
10 11 24
10 12 11
10 13 21
10 14 33
10 15 10
10 16 13
10 17 38
10 18 27
10 19 27
10 20 28
10 21 15
10 22 35
10 23 38
10 24 10
10 25 2
10 26 13
10 27 45
10 28 15
10 29 15
10 30 25
10 31 35
10 32 33
10 33 14
10 34 6
10 35 18
10 36 5
10 37 36
10 38 23
10 39 1
10 40 5
10 41 44
10 42 43
10 43 20
10 44 11
10 45 5
11 12 40
11 13 10
11 14 18
11 15 9
11 16 3
11 17 2
11 18 24
11 19 44
11 20 9
11 21 26
11 22 27
11 23 19
11 24 14
11 25 42
11 26 12
11 27 35
11 28 5
11 29 42
11 30 1
11 31 38
11 32 36
11 33 15
11 34 19
11 35 45
11 36 42
11 37 40
11 38 34
11 39 44
11 40 29
11 41 1
11 42 16
11 43 3
11 44 34
11 45 39
12 13 1
12 14 30
12 15 33
12 16 44
12 17 38
12 18 10
12 19 17
12 20 35
12 21 31
12 22 44
12 23 29
12 24 26
12 25 7
12 26 3
12 27 9
12 28 21
12 29 36
12 30 33
12 31 29
12 32 2
12 33 26
12 34 7
12 35 43
12 36 34
12 37 14
12 38 2
12 39 1
12 40 22
12 41 18
12 42 41
12 43 19
12 44 8
12 45 11
13 14 9
13 15 38
13 16 27
13 17 24
13 18 39
13 19 38
13 20 24
13 21 21
13 22 22
13 23 23
13 24 42
13 25 20
13 26 27
13 27 44
13 28 35
13 29 23
13 30 34
13 31 39
13 32 28
13 33 9
13 34 38
13 35 1
13 36 38
13 37 9
13 38 6
13 39 31
13 40 36
13 41 29
13 42 26
13 43 17
13 44 38
13 45 35
14 15 41
14 16 24
14 17 7
14 18 5
14 19 19
14 20 36
14 21 24
14 22 28
14 23 23
14 24 4
14 25 5
14 26 29
14 27 11
14 28 30
14 29 31
14 30 12
14 31 10
14 32 4
14 33 27
14 34 34
14 35 31
14 36 44
14 37 14
14 38 36
14 39 39
14 40 40
14 41 38
14 42 41
14 43 8
14 44 14
14 45 2
15 16 36
15 17 27
15 18 24
15 19 27
15 20 9
15 21 33
15 22 30
15 23 12
15 24 37
15 25 28
15 26 31
15 27 39
15 28 8
15 29 21
15 30 10
15 31 14
15 32 5
15 33 27
15 34 45
15 35 39
15 36 19
15 37 5
15 38 21
15 39 31
15 40 5
15 41 18
15 42 30
15 43 16
15 44 31
15 45 32
16 17 40
16 18 42
16 19 40
16 20 42
16 21 25
16 22 32
16 23 34
16 24 42
16 25 36
16 26 15
16 27 21
16 28 20
16 29 2
16 30 1
16 31 30
16 32 12
16 33 11
16 34 29
16 35 42
16 36 36
16 37 35
16 38 4
16 39 33
16 40 43
16 41 33
16 42 33
16 43 44
16 44 39
16 45 22
17 18 42
17 19 41
17 20 30
17 21 29
17 22 26
17 23 8
17 24 28
17 25 28
17 26 22
17 27 33
17 28 36
17 29 17
17 30 31
17 31 32
17 32 23
17 33 36
17 34 44
17 35 21
17 36 4
17 37 20
17 38 12
17 39 36
17 40 8
17 41 3
17 42 20
17 43 22
17 44 34
17 45 34
18 19 23
18 20 30
18 21 16
18 22 11
18 23 22
18 24 23
18 25 27
18 26 21
18 27 23
18 28 2
18 29 18
18 30 36
18 31 19
18 32 29
18 33 24
18 34 41
18 35 16
18 36 11
18 37 16
18 38 35
18 39 44
18 40 15
18 41 3
18 42 28
18 43 38
18 44 15
18 45 36
19 20 23
19 21 45
19 22 14
19 23 9
19 24 28
19 25 34
19 26 7
19 27 17
19 28 5
19 29 38
19 30 35
19 31 7
19 32 38
19 33 20
19 34 10
19 35 38
19 36 16
19 37 37
